filename;sample_name;up_pos;length;width;height;weight;density;moe;mor;invalid;pre_peak_displ;post_peak_displ;pre_peak_cls;post_peak_cls;quality_cropped;quality;knot_healthy;knot_dead;knot_cluster;rot;blue_stain;grain;pitch pocket;pith;crack;bark;wane;borehole;reaction wood;yellowish;split
2024_08_27-I1.19.1.bmp;I1.19;0;565;98.8;29.7;731.6;0.000441278;8.625836948;66.34436042;;10.84179783;0.040006638;2;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.19.2.bmp;I1.19;1;;98.8;29.7;;;8.625836948;66.34436042;;10.84179783;0.040006638;2;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.2.1.bmp;I1.2;0;562;99.4;29.6;758;0.000458411;6.474532905;42.37229177;;2.880003452;0.039988518;0;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.2.2.bmp;I1.2;1;;99.4;29.6;;;6.474532905;42.37229177;;2.880003452;0.039988518;0;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.20.1.bmp;I1.20;0;566;99.1;29.6;777.2;0.000468113;8.900698976;73.44091811;;7.459996223;0.04002285;1;0;;3;;;;;;;;;1;;;;;;train
2024_08_27-I1.20.2.bmp;I1.20;1;;99.1;29.6;;;8.900698976;73.44091811;;7.459996223;0.04002285;1;0;1;3;;;;;;;;;1;;;;;;train
2024_08_27-I1.3.1.bmp;I1.3;0;559;99.1;29.3;856.9;0.000527931;8.961363941;61.75008342;;4.560004711;4.70002079;1;1;;2;;1;;;;;1;;;;;;;;train
2024_08_27-I1.3.2.bmp;I1.3;1;;99.1;29.3;;;8.961363941;61.75008342;;4.560004711;4.70002079;1;1;;2;;1;;;;;;;;;;;;;train
2024_08_27-I1.4.1.bmp;I1.4;0;566;99.2;29.6;756.9;0.000455427;6.958500283;41.47954996;;2.740005016;4.160110474;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.4.2.bmp;I1.4;1;;99.2;29.6;;;6.958500283;41.47954996;;2.740005016;4.160110474;0;1;1;2;;1;;;;;;;;;;;;;train
2024_08_27-I1.5.1.bmp;I1.5;1;;99.2;29.7;;;5.430913533;24.2767901;;0;2.68000555;0;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I1.5.2.bmp;I1.5;0;558;99.2;29.7;652.1;0.000396654;5.430913533;24.2767901;;0;2.68000555;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.6.1.bmp;I1.6;1;;99.2;29.5;;;7.705972216;39.10107492;;2.90000248;0.040002823;0;0;2;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.6.2.bmp;I1.6;0;560;99.2;29.5;768.6;0.000469006;7.705972216;39.10107492;;2.90000248;0.040002823;0;0;;1;;;;;;;;;;;;;;;train
2024_08_27-I1.7.1.bmp;I1.7;1;;99.3;29.7;;;5.719664609;40.69595407;;0.919998169;0;0;0;;2;;;1;;;;;;;;;;;;train
2024_08_27-I1.7.2.bmp;I1.7;0;564;99.3;29.7;679.2;0.000408331;5.719664609;40.69595407;;0.919998169;0;0;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.8.1.bmp;I1.8;1;;98.9;29.7;;;11.1619741;80.93964548;;11.01999855;11.24502754;2;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I1.8.2.bmp;I1.8;0;561;98.9;29.7;747.4;0.000453563;11.1619741;80.93964548;;11.01999855;11.24502754;2;1;;3;;;;;;;;;1;;;;;;train
2024_08_27-I1.9.1.bmp;I1.9;1;;99.4;29.8;;;6.63981038;41.58278135;;2.780013561;0.039999962;0;0;;2;;1;;;;;;;;;;;;;train
2024_08_27-I1.9.2.bmp;I1.9;0;562;99.4;29.8;657.5;0.000394963;6.63981038;41.58278135;;2.780013561;0.039999962;0;0;;2;1;1;;;;;;;;;;;;;train
2024_08_27-I2.1.1.bmp;I2.1;0;558;98.9;29.6;784.8;0.000480437;9.047768521;55.20284192;;7.520019054;0.480042458;1;0;;2;;;;;;;;1;;;;;;;train
2024_08_27-I2.1.2.bmp;I2.1;1;;98.9;29.6;;;9.047768521;55.20284192;;7.520019054;0.480042458;1;0;1;3;;;;;;;;;1;;;;;;train
2024_08_27-I2.10.1.bmp;I2.10;0;565;99;29.6;676.6;0.000408655;5.846493895;46.35007901;;4.160011292;0;1;0;;3;1;;;;;;;;1;;;;;;train
2024_08_27-I2.10.2.bmp;I2.10;1;;99;29.6;;;5.846493895;46.35007901;;4.160011292;0;1;0;;2;1;;;;;;1;;;;;;;;train
2024_08_27-I2.11.1.bmp;I2.11;0;564;99.2;29.6;785.1;0.00047407;7.686610226;63.9891152;;8.279989719;0;2;0;2;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.11.2.bmp;I2.11;1;;99.2;29.6;;;7.686610226;63.9891152;;8.279989719;0;2;0;;1;;;;;;;;;;;;;;;train
2024_08_27-I2.12.1.bmp;I2.12;1;;99.2;29.6;;;5.730006445;28.21814584;;3.880010128;1.100011826;0;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I2.12.2.bmp;I2.12;0;565;99.2;29.6;709.1;0.000427421;5.730006445;28.21814584;;3.880010128;1.100011826;0;0;;3;1;;;;;;;;1;;;;;;train
2024_08_27-I2.13.1.bmp;I2.13;0;559;98.4;29.6;762;0.000468011;10.61239851;64.13610741;;2.920007229;1.031072617;0;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I2.13.2.bmp;I2.13;1;;98.4;29.6;;;10.61239851;64.13610741;;2.920007229;1.031072617;0;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I2.14.1.bmp;I2.14;1;;99.5;29.6;;;6.912469551;58.6341291;;15.71999693;0;2;0;;3;;1;;;;;;;;;;;;;train
2024_08_27-I2.14.2.bmp;I2.14;0;560;99.5;29.6;602.5;0.000365304;6.912469551;58.6341291;;15.71999693;0;2;0;;2;;1;;;;;;;;;;;;;train
2024_08_27-I2.15.1.bmp;I2.15;0;559;98.8;29.4;768.9;0.000473537;8.365295077;60.81075919;;5.440009117;0.040050507;1;0;;3;1;;;;;;;;1;;;;;;test
2024_08_27-I2.15.2.bmp;I2.15;1;;98.8;29.4;;;8.365295077;60.81075919;;5.440009117;0.040050507;1;0;;1;;;;;;;;;;;;;;;test
2024_08_27-I2.16.1.bmp;I2.16;0;560;99.1;29.5;770.1;0.000470396;7.453063381;57.38072162;;4.36000061;0.040003777;1;0;2;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.16.2.bmp;I2.16;1;;99.1;29.5;;;7.453063381;57.38072162;;4.36000061;0.040003777;1;0;;2;;1;;;;;;;;;;;;;train
2024_08_27-I2.17.1.bmp;I2.17;0;560;98.9;29.4;690.2;0.00042388;5.907751724;41.55608119;;1.619997025;0;0;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.17.2.bmp;I2.17;1;;98.9;29.4;;;5.907751724;41.55608119;;1.619997025;0;0;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I2.18.1.bmp;I2.18;0;560;98.7;29.4;769.6;0.000473601;7.129484292;45.35274384;;4.340211391;4.419998169;1;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.18.2.bmp;I2.18;1;;98.7;29.4;;;7.129484292;45.35274384;;4.340211391;4.419998169;1;1;;3;;;;;;;;;1;;;;;;train
2024_08_27-I2.19.1.bmp;I2.19;0;562;99.6;29.4;605.8;0.000368117;6.153142442;37.16804511;;1.999976635;0.040011406;0;0;;2;1;;;;;;;;;;;;;;test
2024_08_27-I2.19.2.bmp;I2.19;1;;99.6;29.4;;;6.153142442;37.16804511;;1.999976635;0.040011406;0;0;;3;;;;;;;;;1;;;;;;test
2024_08_27-I2.2.1.bmp;I2.2;0;565;99.3;29.6;759.4;0.000457279;6.92232082;53.78195059;;6.059995174;0.041107178;1;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.2.2.bmp;I2.2;1;;99.3;29.6;;;6.92232082;53.78195059;;6.059995174;0.041107178;1;0;;1;;;;;;;;;;;;;;;train
2024_08_27-I2.20.1.bmp;I2.20;0;562;98.8;29.5;809.6;0.00049426;6.751533028;35.3209618;;5.459989071;4.200018883;1;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.20.2.bmp;I2.20;1;;98.8;29.5;;;6.751533028;35.3209618;;5.459989071;4.200018883;1;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I2.3.1.bmp;I2.3;1;;99.5;29.6;;;4.805030381;28.20185885;;3.380000114;0.040006638;0;0;;3;;;;1;;;;;;1;;;;;train
2024_08_27-I2.3.2.bmp;I2.3;0;560;99.5;29.6;699.6;0.000424177;4.805030381;28.20185885;;3.380000114;0.040006638;0;0;;2;;1;;;;;;;;;;;;;train
2024_08_27-I2.4.1.bmp;I2.4;0;560;98.8;29.6;801.3;0.000489281;7.191434867;41.81922698;;3.739975452;0.040014267;0;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.4.2.bmp;I2.4;1;;98.8;29.6;;;7.191434867;41.81922698;;3.739975452;0.040014267;0;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.5.1.bmp;I2.5;0;562;98.9;29.5;761;0.00046412;7.838717583;62.40168024;;7.480009556;0.539987564;1;0;;3;;1;;;;;;;;;;;;;train
2024_08_27-I2.5.2.bmp;I2.5;1;;98.9;29.5;;;7.838717583;62.40168024;;7.480009556;0.539987564;1;0;;1;;;;;;;;;;;;;;;train
2024_08_27-I2.6.1.bmp;I2.6;0;566;98.5;29.6;751.2;0.000455209;10.46917341;70.02677167;;5.979997158;0.015472412;1;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I2.6.2.bmp;I2.6;1;;98.5;29.6;;;10.46917341;70.02677167;;5.979997158;0.015472412;1;0;;1;;;;;;;;;;;;;;;train
2024_08_27-I2.7.1.bmp;I2.7;0;568;98.4;29.6;744.8;0.000450199;8.730281284;62.72323234;;4.079988956;0.04003334;1;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.7.2.bmp;I2.7;1;;98.4;29.6;;;8.730281284;62.72323234;;4.079988956;0.04003334;1;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I2.8.1.bmp;I2.8;0;559;98.5;29.6;749.3;0.000459744;7.288629323;46.14663242;;1.34000349;2.996162415;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.8.2.bmp;I2.8;1;;98.5;29.6;;;7.288629323;46.14663242;;1.34000349;2.996162415;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I2.9.1.bmp;I2.9;1;;99.5;29.6;;;8.327365452;52.74061359;;10.21999741;9.421234131;2;1;;3;1;;;;1;;;1;1;;;;;;train
2024_08_27-I2.9.2.bmp;I2.9;0;563;99.5;29.6;792.9;0.000478184;8.327365452;52.74061359;;10.21999741;9.421234131;2;1;;1;;;;;;;;;;;;;;;train
2024_08_27-I3.1.1.bmp;I3.1;0;560;98.8;29.5;649.9;0.00039818;9.226120834;61.30437717;;6.179999828;1.962485313;1;1;;2;1;;;;;;1;;;;;;;;train
2024_08_27-I3.1.2.bmp;I3.1;1;;98.8;29.5;;;9.226120834;61.30437717;;6.179999828;1.962485313;1;1;1;2;1;;;;;;;;;;;;;;train
2024_08_27-I3.10.1.bmp;I3.10;1;;99.1;29.5;;;8.523540952;51.01865772;;6.979994297;0.44000721;1;0;1;3;;1;;;;;;;;;;;;;train
2024_08_27-I3.10.2.bmp;I3.10;0;566;99.1;29.5;663;0.000400683;8.523540952;51.01865772;;6.979994297;0.44000721;1;0;;3;;1;;;;;;;;;;;;;train
2024_08_27-I3.11.1.bmp;I3.11;1;;99.2;29.5;;;8.116088803;52.68731372;;4.440001011;5.639998436;1;1;1;3;;;1;;;;;;;;;;;;train
2024_08_27-I3.11.2.bmp;I3.11;0;560;99.2;29.5;757.9;0.000462477;8.116088803;52.68731372;;4.440001011;5.639998436;1;1;1;3;;;;;;;;;1;;;;;;train
2024_08_27-I3.12.1.bmp;I3.12;1;;98.9;29.6;;;8.911315214;67.29140278;;8.759992123;0.041870117;2;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I3.12.2.bmp;I3.12;0;561;98.9;29.6;708.6;0.00043147;8.911315214;67.29140278;;8.759992123;0.041870117;2;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I3.13.1.bmp;I3.13;1;;99.1;29.5;;;6.553878704;43.64038447;;2.141016483;0;0;0;;1;;;;;;;;;;;;;;;test
2024_08_27-I3.13.2.bmp;I3.13;0;556;99.1;29.5;746;0.000458953;6.553878704;43.64038447;;2.141016483;0;0;0;;3;1;;;;;;;;;1;;;;;test
2024_08_27-I3.14.1.bmp;I3.14;0;562;98.7;29.4;644.1;0.000394959;6.657846764;51.784671;;5.040014744;1.860002518;1;0;;3;1;;;;;;;;;;;;;;test
2024_08_27-I3.14.2.bmp;I3.14;1;;98.7;29.4;;;6.657846764;51.784671;;5.040014744;1.860002518;1;0;;1;;;;;;;;;;;;;;;test
2024_08_27-I3.15.1.bmp;I3.15;0;560;99.4;29.5;753.5;0.000458867;8.187622792;51.46960453;;3.240018368;5.296979904;0;1;;3;1;1;;;;;;;;;;;;;train
2024_08_27-I3.15.2.bmp;I3.15;1;;99.4;29.5;;;8.187622792;51.46960453;;3.240018368;5.296979904;0;1;;2;1;1;;;;;;;;;;;;;train
2024_08_27-I3.16.1.bmp;I3.16;0;561;98.8;29.6;748.9;0.00045647;8.641114799;53.30569985;;2.62059021;0;0;0;;3;;;1;;;;;;;;;;;;train
2024_08_27-I3.16.2.bmp;I3.16;1;;98.8;29.6;;;8.641114799;53.30569985;;2.62059021;0;0;0;;3;;;1;;;;;;;;;;;;train
2024_08_27-I3.17.1.bmp;I3.17;0;566;98.4;29.6;694;0.000420975;8.435420294;71.43019441;;15.72001553;0;2;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I3.17.2.bmp;I3.17;1;;98.4;29.6;;;8.435420294;71.43019441;;15.72001553;0;2;0;;3;;;;;;1;;;;;;;;;train
2024_08_27-I3.18.1.bmp;I3.18;0;561;98.1;29.4;794.3;0.000490914;10.83397263;79.04079179;;10.79998827;17.36056709;2;1;;2;1;;;;;;;;;;;;;;test
2024_08_27-I3.18.2.bmp;I3.18;1;;98.1;29.4;;;10.83397263;79.04079179;;10.79998827;17.36056709;2;1;;1;;;;;;;;;;;;;;;test
2024_08_27-I3.19.1.bmp;I3.19;0;562;98.7;29.6;678.7;0.000413364;8.429803304;48.15437507;;6.119981289;2.420004845;1;1;;2;1;;;;;;;;;;;;;;test
2024_08_27-I3.19.2.bmp;I3.19;1;;98.7;29.6;;;8.429803304;48.15437507;;6.119981289;2.420004845;1;1;;1;;;;;;;;;;;;;;;test
2024_08_27-I3.2.1.bmp;I3.2;1;;98.9;29.7;;;7.371552054;43.59367374;;2.900005341;2.78956604;0;1;;2;;1;;;;;;;;;;;;1;train
2024_08_27-I3.2.2.bmp;I3.2;0;559;98.9;29.7;704.3;0.000428937;7.371552054;43.59367374;;2.900005341;2.78956604;0;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I3.20.1.bmp;I3.20;1;;98.7;29.6;;;8.943711712;71.88441915;;10.55999756;6.370210648;2;1;1;2;1;;;;;;;;;;;;;;test
2024_08_27-I3.20.2.bmp;I3.20;0;564;98.7;29.6;733.7;0.000445277;8.943711712;71.88441915;;10.55999756;6.370210648;2;1;1;2;1;1;;;;;;;;;;;;;test
2024_08_27-I3.3.1.bmp;I3.3;1;;98.8;29.6;;;9.367158403;70.86540028;;11.04101896;1.031467438;2;0;1;2;1;;;;;;;;;;;;;;train
2024_08_27-I3.3.2.bmp;I3.3;0;558;98.8;29.6;670.3;0.000410758;9.367158403;70.86540028;;11.04101896;1.031467438;2;0;1;3;1;;;;;;;;;;;;;;train
2024_08_27-I3.4.1.bmp;I3.4;1;;98.8;29.5;;;8.194375502;54.10303187;;5.000005245;6.419984818;1;1;;2;;;;;;;1;;1;;;;;;train
2024_08_27-I3.4.2.bmp;I3.4;0;563;98.8;29.5;761.3;0.000463947;8.194375502;54.10303187;;5.000005245;6.419984818;1;1;2;3;;;;;;;;;1;;;;;;train
2024_08_27-I3.5.1.bmp;I3.5;1;;99;29.6;;;8.0122582;55.03582475;;3.140006065;3.780035973;0;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I3.5.2.bmp;I3.5;0;559;99;29.6;754;0.000460291;8.0122582;55.03582475;;3.140006065;3.780035973;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I3.6.1.bmp;I3.6;1;;98.8;29.5;;;5.567782823;38.26925274;;2.879997253;0;0;0;2;3;;;;;;;;;;1;;;;;train
2024_08_27-I3.6.2.bmp;I3.6;0;565;98.8;29.5;749.8;0.000455321;5.567782823;38.26925274;;2.879997253;0;0;0;2;3;1;;;;;;;;;;;;;;train
2024_08_27-I3.7.1.bmp;I3.7;0;565;98.7;29.5;720.1;0.000437729;7.680808063;54.87543163;;4.419993401;0;1;0;;3;;;;;;;;;;1;;;;;test
2024_08_27-I3.7.2.bmp;I3.7;1;;98.7;29.5;;;7.680808063;54.87543163;;4.419993401;0;1;0;;2;1;1;;;;;;;;;;;;;test
2024_08_27-I3.8.1.bmp;I3.8;0;561;98.8;29.6;797.6;0.000486154;7.749298159;54.00687355;;3.120998859;0.040002823;0;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I3.8.2.bmp;I3.8;1;;98.8;29.6;;;7.749298159;54.00687355;;3.120998859;0.040002823;0;0;;3;1;;;;;;;;;1;;;;;train
2024_08_27-I3.9.1.bmp;I3.9;0;562;98.9;29.5;768.8;0.000468877;8.942999949;73.00495296;;12.35999393;0.019990921;2;0;1;3;1;;;;;;;;;;;;;;train
2024_08_27-I3.9.2.bmp;I3.9;1;;98.9;29.5;;;8.942999949;73.00495296;;12.35999393;0.019990921;2;0;;3;;;;;;;;;;;;;;;train
2024_08_27-I4.1.1.bmp;I4.1;0;559;99;29.6;698.7;0.000426532;7.716655304;41.43061917;;4.420008183;6.510540962;1;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.1.2.bmp;I4.1;1;;99;29.6;;;7.716655304;41.43061917;;4.420008183;6.510540962;1;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.10.1.bmp;I4.10;1;;98.8;29.6;;;7.893568044;48.17100709;;5.360002995;1.026672363;1;0;1;2;;;;;;;;1;;;;;;;train
2024_08_27-I4.10.2.bmp;I4.10;0;560;98.8;29.6;705.5;0.000430785;7.893568044;48.17100709;;5.360002995;1.026672363;1;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.11.1.bmp;I4.11;0;559;98.8;29.6;734;0.000448989;7.835746762;43.51959058;;0.900008678;8.400020599;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.11.2.bmp;I4.11;1;;98.8;29.6;;;7.835746762;43.51959058;;0.900008678;8.400020599;0;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.12.1.bmp;I4.12;0;557;99.2;29.5;721.5;0.000442637;6.823615654;52.9608342;;7.040006638;0;1;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.12.2.bmp;I4.12;1;;99.2;29.5;;;6.823615654;52.9608342;;7.040006638;0;1;0;;2;;1;;;;;;;;;;;;;train
2024_08_27-I4.13.1.bmp;I4.13;1;;99.2;29.6;;;1.283267851;11.95785142;;8.131816387;0.020019531;2;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.13.2.bmp;I4.13;0;560;99.2;29.6;752.9;0.000457874;1.283267851;11.95785142;;8.131816387;0.020019531;2;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.14.1.bmp;I4.14;0;560;99;29.6;714.6;0.00043546;7.372651669;58.3184048;;7.500008106;0;1;0;1;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.14.2.bmp;I4.14;1;;99;29.6;;;7.372651669;58.3184048;;7.500008106;0;1;0;;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.15.1.bmp;I4.15;0;557;98.4;29.5;772.4;0.000477716;7.392725886;54.12935383;;5.65999651;2.479998589;1;1;;3;1;1;;;;;;;;;;;;;train
2024_08_27-I4.15.2.bmp;I4.15;1;;98.4;29.5;;;7.392725886;54.12935383;;5.65999651;2.479998589;1;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.16.1.bmp;I4.16;0;563;99.2;29.4;783.2;0.000476986;5.963590798;21.08187977;;0;5.319993973;0;1;;3;1;;;;;;1;;;;;;;;train
2024_08_27-I4.16.2.bmp;I4.16;1;;99.2;29.4;;;5.963590798;21.08187977;;0;5.319993973;0;1;;2;;;;;;;1;;;;;;;;train
2024_08_27-I4.17.1.bmp;I4.17;0;568;97.9;29.4;796.1;0.000486955;8.452877763;59.79460938;;5.019997597;0.040001869;1;0;;3;1;;;1;;;;;;;;;;;test
2024_08_27-I4.17.2.bmp;I4.17;1;;97.9;29.4;;;8.452877763;59.79460938;;5.019997597;0.040001869;1;0;;2;1;;;;;;;;;;;;;;test
2024_08_27-I4.18.1.bmp;I4.18;0;561;98.9;29.5;742.5;0.000453644;3.244366535;24.75010328;;7.100001812;0.560004234;1;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.18.2.bmp;I4.18;1;;98.9;29.5;;;3.244366535;24.75010328;;7.100001812;0.560004234;1;0;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.19.1.bmp;I4.19;1;;98.9;29.5;;;8.879425351;70.06583912;;13.1600132;0.040021896;2;0;2;3;1;;;;;;;;;;;;;;test
2024_08_27-I4.19.2.bmp;I4.19;0;564;98.9;29.5;721.7;0.000438591;8.879425351;70.06583912;;13.1600132;0.040021896;2;0;;2;;1;;;;;;;;;;;;;test
2024_08_27-I4.2.1.bmp;I4.2;0;564;98.7;29.5;789.8;0.000480949;8.244066383;68.54028373;;7.84001255;3.731357574;1;1;;3;1;;;;;;;;1;;;;;;test
2024_08_27-I4.2.2.bmp;I4.2;1;;98.7;29.5;;;8.244066383;68.54028373;;7.84001255;3.731357574;1;1;2;3;1;;;;;;;;;;;;;;test
2024_08_27-I4.20.1.bmp;I4.20;1;;99.3;29.4;;;4.521541892;24.18236016;;1.600008488;3.359995842;0;1;;3;;1;;;;;;;;;;;;;train
2024_08_27-I4.20.2.bmp;I4.20;0;654;99.3;29.4;722.7;0.000378516;4.521541892;24.18236016;;1.600008488;3.359995842;0;1;;3;1;;;;;;;;;;;;;;train
2024_08_27-I4.3.1.bmp;I4.3;0;557;98.6;29.5;674.9;0.000416567;8.119927768;51.55747451;;2.280007839;3.946955681;0;1;;2;1;1;;;;;;;;;;;;;train
2024_08_27-I4.3.2.bmp;I4.3;1;;98.6;29.5;;;8.119927768;51.55747451;;2.280007839;3.946955681;0;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.4.1.bmp;I4.4;0;563;98.6;29.5;783.2;0.000478261;10.73236952;80.68108968;;11.2799859;10.16259766;2;1;;2;1;1;;;;;;;;;;;;;test
2024_08_27-I4.4.2.bmp;I4.4;1;;98.6;29.5;;;10.73236952;80.68108968;;11.2799859;10.16259766;2;1;;2;;1;;;;;;;;;;;;;test
2024_08_27-I4.5.1.bmp;I4.5;1;;98.5;29.5;;;7.827326295;49.39038457;;6.219985962;1.480020523;1;0;1;2;1;;;;;;1;;;;;;;;train
2024_08_27-I4.5.2.bmp;I4.5;0;560;98.5;29.5;752.1;0.000462199;7.827326295;49.39038457;;6.219985962;1.480020523;1;0;;3;1;;1;;;;;;;;;;;;train
2024_08_27-I4.6.1.bmp;I4.6;1;;98.3;29.5;;;8.96918869;64.22942468;;5.54002142;11.98217583;1;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.6.2.bmp;I4.6;0;561;98.3;29.5;729.2;0.000448238;8.96918869;64.22942468;;5.54002142;11.98217583;1;1;;2;1;;;;;;;;;;;;;;train
2024_08_27-I4.7.1.bmp;I4.7;1;;98.8;29.4;;;8.08457444;61.39503959;;7.080025196;0.039977074;1;0;;3;;;;;;;;;1;;;;;;test
2024_08_27-I4.7.2.bmp;I4.7;0;561;98.8;29.4;788.6;0.000483938;8.08457444;61.39503959;;7.080025196;0.039977074;1;0;;3;1;;;;;;;;;;;;;;test
